Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,source_file
1770575290,2026-02-08T18:28:10Z,NKS2061,"28.434471,-81.315475",0,3,154,NK2061_3e3f8403.csv
1770575501,2026-02-08T18:31:41Z,NKS2061,"28.434677,-81.31665",0,0,22,NK2061_3e3f8403.csv
1770575611,2026-02-08T18:33:31Z,NKS2061,"28.435101,-81.317001",0,0,295,NK2061_3e3f8403.csv
1770575617,2026-02-08T18:33:37Z,NKS2061,"28.435101,-81.317253",0,8,272,NK2061_3e3f8403.csv
1770575622,2026-02-08T18:33:42Z,NKS2061,"28.43508,-81.317482",0,9,264,NK2061_3e3f8403.csv
1770575627,2026-02-08T18:33:47Z,NKS2061,"28.43502,-81.317741",0,10,258,NK2061_3e3f8403.csv
1770575633,2026-02-08T18:33:53Z,NKS2061,"28.434851,-81.31797",0,9,238,NK2061_3e3f8403.csv
1770575638,2026-02-08T18:33:58Z,NKS2061,"28.4347,-81.318192",0,10,232,NK2061_3e3f8403.csv
1770575644,2026-02-08T18:34:04Z,NKS2061,"28.4345,-81.31839",0,9,226,NK2061_3e3f8403.csv
1770575649,2026-02-08T18:34:09Z,NKS2061,"28.43429,-81.318466",0,9,205,NK2061_3e3f8403.csv
1770575655,2026-02-08T18:34:15Z,NKS2061,"28.434,-81.31842",0,10,181,NK2061_3e3f8403.csv
1770575660,2026-02-08T18:34:20Z,NKS2061,"28.43376,-81.31842",0,10,179,NK2061_3e3f8403.csv
1770575664,2026-02-08T18:34:24Z,NKS2061,"28.43354,-81.31842",0,11,179,NK2061_3e3f8403.csv
1770575668,2026-02-08T18:34:28Z,NKS2061,"28.433331,-81.31842",0,11,179,NK2061_3e3f8403.csv
1770575673,2026-02-08T18:34:33Z,NKS2061,"28.433069,-81.31842",0,11,180,NK2061_3e3f8403.csv
1770575677,2026-02-08T18:34:37Z,NKS2061,"28.432859,-81.31842",0,11,179,NK2061_3e3f8403.csv
1770575681,2026-02-08T18:34:41Z,NKS2061,"28.43265,-81.318413",0,11,178,NK2061_3e3f8403.csv
1770575686,2026-02-08T18:34:46Z,NKS2061,"28.43239,-81.31842",0,11,180,NK2061_3e3f8403.csv
1770575691,2026-02-08T18:34:51Z,NKS2061,"28.432131,-81.318398",0,11,179,NK2061_3e3f8403.csv
1770575696,2026-02-08T18:34:56Z,NKS2061,"28.431881,-81.318398",0,11,179,NK2061_3e3f8403.csv
1770575702,2026-02-08T18:35:02Z,NKS2061,"28.431601,-81.318398",0,11,179,NK2061_3e3f8403.csv
1770575706,2026-02-08T18:35:06Z,NKS2061,"28.431391,-81.318398",0,11,180,NK2061_3e3f8403.csv
1770575710,2026-02-08T18:35:10Z,NKS2061,"28.43119,-81.318398",0,11,180,NK2061_3e3f8403.csv
1770575713,2026-02-08T18:35:13Z,NKS2061,"28.43096,-81.318398",0,12,179,NK2061_3e3f8403.csv
1770575718,2026-02-08T18:35:18Z,NKS2061,"28.43066,-81.31839",0,13,178,NK2061_3e3f8403.csv
1770575723,2026-02-08T18:35:23Z,NKS2061,"28.430349,-81.318382",0,14,179,NK2061_3e3f8403.csv
1770575727,2026-02-08T18:35:27Z,NKS2061,"28.430111,-81.318367",0,14,177,NK2061_3e3f8403.csv
1770575730,2026-02-08T18:35:30Z,NKS2061,"28.429899,-81.318367",0,14,179,NK2061_3e3f8403.csv
1770575735,2026-02-08T18:35:35Z,NKS2061,"28.429581,-81.318382",0,14,180,NK2061_3e3f8403.csv
1770575739,2026-02-08T18:35:39Z,NKS2061,"28.429279,-81.318367",0,15,180,NK2061_3e3f8403.csv
1770575742,2026-02-08T18:35:42Z,NKS2061,"28.42907,-81.318352",0,16,176,NK2061_3e3f8403.csv
1770575745,2026-02-08T18:35:45Z,NKS2061,"28.42885,-81.318352",0,16,178,NK2061_3e3f8403.csv
1770575749,2026-02-08T18:35:49Z,NKS2061,"28.428539,-81.318359",0,16,179,NK2061_3e3f8403.csv
1770575752,2026-02-08T18:35:52Z,NKS2061,"28.428301,-81.318359",0,17,179,NK2061_3e3f8403.csv
1770575756,2026-02-08T18:35:56Z,NKS2061,"28.42799,-81.318352",0,17,178,NK2061_3e3f8403.csv
1770575760,2026-02-08T18:36:00Z,NKS2061,"28.427759,-81.318352",0,16,179,NK2061_3e3f8403.csv
1770575763,2026-02-08T18:36:03Z,NKS2061,"28.427509,-81.318352",0,18,179,NK2061_3e3f8403.csv
1770575766,2026-02-08T18:36:06Z,NKS2061,"28.42717,-81.318352",0,18,180,NK2061_3e3f8403.csv
1770575769,2026-02-08T18:36:09Z,NKS2061,"28.426901,-81.318352",0,19,179,NK2061_3e3f8403.csv
1770575773,2026-02-08T18:36:13Z,NKS2061,"28.42655,-81.318352",0,19,180,NK2061_3e3f8403.csv
1770575777,2026-02-08T18:36:17Z,NKS2061,"28.426189,-81.318352",0,20,180,NK2061_3e3f8403.csv
1770575780,2026-02-08T18:36:20Z,NKS2061,"28.425911,-81.318329",0,20,177,NK2061_3e3f8403.csv
1770575783,2026-02-08T18:36:23Z,NKS2061,"28.425631,-81.318329",0,20,178,NK2061_3e3f8403.csv
1770575786,2026-02-08T18:36:26Z,NKS2061,"28.42536,-81.318336",0,19,180,NK2061_3e3f8403.csv
1770575789,2026-02-08T18:36:29Z,NKS2061,"28.42507,-81.318336",0,20,180,NK2061_3e3f8403.csv
1770575792,2026-02-08T18:36:32Z,NKS2061,"28.42478,-81.318336",0,20,180,NK2061_3e3f8403.csv
1770575795,2026-02-08T18:36:35Z,NKS2061,"28.424509,-81.318336",0,20,179,NK2061_3e3f8403.csv
1770575798,2026-02-08T18:36:38Z,NKS2061,"28.42425,-81.318329",0,19,179,NK2061_3e3f8403.csv
1770575801,2026-02-08T18:36:41Z,NKS2061,"28.424021,-81.318314",0,17,175,NK2061_3e3f8403.csv
1770575805,2026-02-08T18:36:45Z,NKS2061,"28.4238,-81.318314",0,13,178,NK2061_3e3f8403.csv
1770575811,2026-02-08T18:36:51Z,NKS2061,"28.423571,-81.318207",0,11,163,NK2061_3e3f8403.csv
1770575815,2026-02-08T18:36:55Z,NKS2061,"28.423441,-81.317902",0,13,122,NK2061_3e3f8403.csv
1770575819,2026-02-08T18:36:59Z,NKS2061,"28.423491,-81.31765",0,13,87,NK2061_3e3f8403.csv
1770575825,2026-02-08T18:37:05Z,NKS2061,"28.423479,-81.317322",0,12,89,NK2061_3e3f8403.csv
1770575828,2026-02-08T18:37:08Z,NKS2061,"28.423479,-81.317101",0,13,89,NK2061_3e3f8403.csv
1770575831,2026-02-08T18:37:11Z,NKS2061,"28.423479,-81.316879",0,14,89,NK2061_3e3f8403.csv
1770575835,2026-02-08T18:37:15Z,NKS2061,"28.42347,-81.316589",0,14,90,NK2061_3e3f8403.csv
1770575838,2026-02-08T18:37:18Z,NKS2061,"28.423479,-81.31636",0,14,89,NK2061_3e3f8403.csv
1770575841,2026-02-08T18:37:21Z,NKS2061,"28.423479,-81.316101",0,16,90,NK2061_3e3f8403.csv
1770575844,2026-02-08T18:37:24Z,NKS2061,"28.423479,-81.315842",0,16,90,NK2061_3e3f8403.csv
1770575847,2026-02-08T18:37:27Z,NKS2061,"28.423491,-81.315552",0,17,87,NK2061_3e3f8403.csv
1770575850,2026-02-08T18:37:30Z,NKS2061,"28.4235,-81.315269",0,18,87,NK2061_3e3f8403.csv
1770575854,2026-02-08T18:37:34Z,NKS2061,"28.4235,-81.314987",0,18,89,NK2061_3e3f8403.csv
1770575857,2026-02-08T18:37:37Z,NKS2061,"28.4235,-81.31459",0,19,90,NK2061_3e3f8403.csv
1770575859,2026-02-08T18:37:39Z,NKS2061,"28.4235,-81.314362",0,20,90,NK2061_3e3f8403.csv
1770575862,2026-02-08T18:37:42Z,NKS2061,"28.4235,-81.314049",0,20,89,NK2061_3e3f8403.csv
1770575865,2026-02-08T18:37:45Z,NKS2061,"28.4235,-81.313713",0,21,89,NK2061_3e3f8403.csv
1770575868,2026-02-08T18:37:48Z,NKS2061,"28.4235,-81.313377",0,21,89,NK2061_3e3f8403.csv
1770575870,2026-02-08T18:37:50Z,NKS2061,"28.4235,-81.313148",0,21,89,NK2061_3e3f8403.csv
1770575873,2026-02-08T18:37:53Z,NKS2061,"28.4235,-81.312782",0,23,89,NK2061_3e3f8403.csv
1770575876,2026-02-08T18:37:56Z,NKS2061,"28.4235,-81.312401",0,24,90,NK2061_3e3f8403.csv
1770575879,2026-02-08T18:37:59Z,NKS2061,"28.423441,-81.312042",0,23,95,NK2061_3e3f8403.csv
1770575882,2026-02-08T18:38:02Z,NKS2061,"28.42342,-81.311691",0,23,95,NK2061_3e3f8403.csv
1770575884,2026-02-08T18:38:04Z,NKS2061,"28.42338,-81.311432",0,24,97,NK2061_3e3f8403.csv
1770575886,2026-02-08T18:38:06Z,NKS2061,"28.42333,-81.311218",0,22,100,NK2061_3e3f8403.csv
1770575888,2026-02-08T18:38:08Z,NKS2061,"28.423281,-81.310982",0,23,101,NK2061_3e3f8403.csv
1770575890,2026-02-08T18:38:10Z,NKS2061,"28.423241,-81.31076",0,22,102,NK2061_3e3f8403.csv
1770575892,2026-02-08T18:38:12Z,NKS2061,"28.423201,-81.310516",0,23,102,NK2061_3e3f8403.csv
1770575895,2026-02-08T18:38:15Z,NKS2061,"28.42317,-81.310287",0,22,99,NK2061_3e3f8403.csv
1770575896,2026-02-08T18:38:16Z,NKS2061,"28.423161,-81.310081",0,21,97,NK2061_3e3f8403.csv
1770575899,2026-02-08T18:38:19Z,NKS2061,"28.423149,-81.309761",0,21,93,NK2061_3e3f8403.csv
1770575901,2026-02-08T18:38:21Z,NKS2061,"28.423149,-81.309547",0,20,92,NK2061_3e3f8403.csv
1770575905,2026-02-08T18:38:25Z,NKS2061,"28.42318,-81.309196",0,18,86,NK2061_3e3f8403.csv
1770575908,2026-02-08T18:38:28Z,NKS2061,"28.423229,-81.308922",0,18,82,NK2061_3e3f8403.csv
1770575911,2026-02-08T18:38:31Z,NKS2061,"28.423229,-81.308662",0,17,87,NK2061_3e3f8403.csv
1770575914,2026-02-08T18:38:34Z,NKS2061,"28.42325,-81.308418",0,16,85,NK2061_3e3f8403.csv
1770575918,2026-02-08T18:38:38Z,NKS2061,"28.423269,-81.308121",0,15,85,NK2061_3e3f8403.csv
1770575921,2026-02-08T18:38:41Z,NKS2061,"28.423281,-81.307907",0,14,86,NK2061_3e3f8403.csv
1770575925,2026-02-08T18:38:45Z,NKS2061,"28.42329,-81.307648",0,13,86,NK2061_3e3f8403.csv
1770575929,2026-02-08T18:38:49Z,NKS2061,"28.423309,-81.307419",0,11,85,NK2061_3e3f8403.csv
1770575934,2026-02-08T18:38:54Z,NKS2061,"28.42333,-81.307159",0,10,85,NK2061_3e3f8403.csv
1770575939,2026-02-08T18:38:59Z,NKS2061,"28.423361,-81.306908",0,9,84,NK2061_3e3f8403.csv
1770575944,2026-02-08T18:39:04Z,NKS2061,"28.42337,-81.306664",0,9,84,NK2061_3e3f8403.csv
1770575948,2026-02-08T18:39:08Z,NKS2061,"28.423389,-81.30645",0,10,87,NK2061_3e3f8403.csv
1770575954,2026-02-08T18:39:14Z,NKS2061,"28.42342,-81.306099",0,12,85,NK2061_3e3f8403.csv
1770575958,2026-02-08T18:39:18Z,NKS2061,"28.42342,-81.305847",0,13,86,NK2061_3e3f8403.csv
1770575961,2026-02-08T18:39:21Z,NKS2061,"28.423441,-81.305618",0,14,87,NK2061_3e3f8403.csv
1770575965,2026-02-08T18:39:25Z,NKS2061,"28.42346,-81.305389",0,15,85,NK2061_3e3f8403.csv
1770575968,2026-02-08T18:39:28Z,NKS2061,"28.423491,-81.305153",0,15,83,NK2061_3e3f8403.csv
1770575970,2026-02-08T18:39:30Z,NKS2061,"28.42351,-81.304863",0,17,83,NK2061_3e3f8403.csv
1770575972,2026-02-08T18:39:32Z,NKS2061,"28.4235,-81.304649",0,19,87,NK2061_3e3f8403.csv
1770575975,2026-02-08T18:39:35Z,NKS2061,"28.42354,-81.304359",0,19,84,NK2061_3e3f8403.csv
1770575978,2026-02-08T18:39:38Z,NKS2061,"28.42355,-81.304047",0,19,87,NK2061_3e3f8403.csv
1770575981,2026-02-08T18:39:41Z,NKS2061,"28.423571,-81.303688",0,22,86,NK2061_3e3f8403.csv
1770575983,2026-02-08T18:39:43Z,NKS2061,"28.423599,-81.303452",0,23,84,NK2061_3e3f8403.csv
1770575985,2026-02-08T18:39:45Z,NKS2061,"28.42359,-81.303207",0,22,87,NK2061_3e3f8403.csv
1770575988,2026-02-08T18:39:48Z,NKS2061,"28.42359,-81.302811",0,24,89,NK2061_3e3f8403.csv
1770575990,2026-02-08T18:39:50Z,NKS2061,"28.423611,-81.302544",0,25,87,NK2061_3e3f8403.csv
1770575993,2026-02-08T18:39:53Z,NKS2061,"28.423611,-81.302109",0,27,89,NK2061_3e3f8403.csv
1770575996,2026-02-08T18:39:56Z,NKS2061,"28.423611,-81.301682",0,27,89,NK2061_3e3f8403.csv
1770575999,2026-02-08T18:39:59Z,NKS2061,"28.423599,-81.301231",0,28,90,NK2061_3e3f8403.csv
1770576002,2026-02-08T18:40:02Z,NKS2061,"28.423599,-81.300797",0,28,89,NK2061_3e3f8403.csv
1770576004,2026-02-08T18:40:04Z,NKS2061,"28.423611,-81.300491",0,28,89,NK2061_3e3f8403.csv
1770576006,2026-02-08T18:40:06Z,NKS2061,"28.423611,-81.300209",0,28,89,NK2061_3e3f8403.csv
1770576008,2026-02-08T18:40:08Z,NKS2061,"28.423611,-81.299919",0,28,89,NK2061_3e3f8403.csv
1770576010,2026-02-08T18:40:10Z,NKS2061,"28.423599,-81.29966",0,26,90,NK2061_3e3f8403.csv
1770576012,2026-02-08T18:40:12Z,NKS2061,"28.42363,-81.2994",0,25,87,NK2061_3e3f8403.csv
1770576015,2026-02-08T18:40:15Z,NKS2061,"28.42363,-81.299149",0,24,88,NK2061_3e3f8403.csv
1770576016,2026-02-08T18:40:16Z,NKS2061,"28.42363,-81.29892",0,23,89,NK2061_3e3f8403.csv
1770576018,2026-02-08T18:40:18Z,NKS2061,"28.42363,-81.298714",0,21,90,NK2061_3e3f8403.csv
1770576021,2026-02-08T18:40:21Z,NKS2061,"28.42362,-81.298477",0,16,90,NK2061_3e3f8403.csv
1770576025,2026-02-08T18:40:25Z,NKS2061,"28.42359,-81.298149",0,15,97,NK2061_3e3f8403.csv
1770576030,2026-02-08T18:40:30Z,NKS2061,"28.423321,-81.297928",0,14,147,NK2061_3e3f8403.csv
1770576033,2026-02-08T18:40:33Z,NKS2061,"28.42312,-81.29792",0,15,176,NK2061_3e3f8403.csv
1770576037,2026-02-08T18:40:37Z,NKS2061,"28.422871,-81.297951",0,15,189,NK2061_3e3f8403.csv
1770576043,2026-02-08T18:40:43Z,NKS2061,"28.422529,-81.297928",0,15,180,NK2061_3e3f8403.csv
1770576045,2026-02-08T18:40:45Z,NKS2061,"28.422319,-81.297928",0,15,180,NK2061_3e3f8403.csv
1770576050,2026-02-08T18:40:50Z,NKS2061,"28.421989,-81.297928",0,17,179,NK2061_3e3f8403.csv
1770576053,2026-02-08T18:40:53Z,NKS2061,"28.421749,-81.29789",0,17,175,NK2061_3e3f8403.csv
1770576055,2026-02-08T18:40:55Z,NKS2061,"28.421499,-81.297913",0,18,180,NK2061_3e3f8403.csv
1770576059,2026-02-08T18:40:59Z,NKS2061,"28.421249,-81.297928",0,18,181,NK2061_3e3f8403.csv
1770576060,2026-02-08T18:41:00Z,NKS2061,"28.42104,-81.297897",0,20,178,NK2061_3e3f8403.csv
1770576063,2026-02-08T18:41:03Z,NKS2061,"28.420759,-81.297897",0,20,179,NK2061_3e3f8403.csv
1770576066,2026-02-08T18:41:06Z,NKS2061,"28.420481,-81.297913",0,20,180,NK2061_3e3f8403.csv
1770576071,2026-02-08T18:41:11Z,NKS2061,"28.42008,-81.297897",0,21,182,NK2061_3e3f8403.csv
1770576072,2026-02-08T18:41:12Z,NKS2061,"28.419861,-81.297897",0,22,179,NK2061_3e3f8403.csv
1770576075,2026-02-08T18:41:15Z,NKS2061,"28.41955,-81.29789",0,23,178,NK2061_3e3f8403.csv
1770576077,2026-02-08T18:41:17Z,NKS2061,"28.41934,-81.297897",0,23,180,NK2061_3e3f8403.csv
1770576080,2026-02-08T18:41:20Z,NKS2061,"28.41901,-81.297867",0,24,177,NK2061_3e3f8403.csv
1770576082,2026-02-08T18:41:22Z,NKS2061,"28.41877,-81.297882",0,25,178,NK2061_3e3f8403.csv
1770576086,2026-02-08T18:41:26Z,NKS2061,"28.418421,-81.297882",0,25,180,NK2061_3e3f8403.csv
1770576087,2026-02-08T18:41:27Z,NKS2061,"28.41819,-81.297882",0,25,180,NK2061_3e3f8403.csv
1770576089,2026-02-08T18:41:29Z,NKS2061,"28.417959,-81.297852",0,25,177,NK2061_3e3f8403.csv
1770576092,2026-02-08T18:41:32Z,NKS2061,"28.417721,-81.297882",0,25,180,NK2061_3e3f8403.csv
1770576093,2026-02-08T18:41:33Z,NKS2061,"28.417471,-81.297882",0,26,180,NK2061_3e3f8403.csv
1770576097,2026-02-08T18:41:37Z,NKS2061,"28.417089,-81.297859",0,27,178,NK2061_3e3f8403.csv
1770576098,2026-02-08T18:41:38Z,NKS2061,"28.41684,-81.297859",0,27,178,NK2061_3e3f8403.csv
1770576100,2026-02-08T18:41:40Z,NKS2061,"28.41658,-81.297859",0,28,179,NK2061_3e3f8403.csv
1770576103,2026-02-08T18:41:43Z,NKS2061,"28.41633,-81.297859",0,27,179,NK2061_3e3f8403.csv
1770576104,2026-02-08T18:41:44Z,NKS2061,"28.416071,-81.297859",0,28,179,NK2061_3e3f8403.csv
1770576106,2026-02-08T18:41:46Z,NKS2061,"28.415779,-81.297852",0,29,179,NK2061_3e3f8403.csv
1770576109,2026-02-08T18:41:49Z,NKS2061,"28.41552,-81.297852",0,28,178,NK2061_3e3f8403.csv
1770576111,2026-02-08T18:41:51Z,NKS2061,"28.4151,-81.297836",0,30,179,NK2061_3e3f8403.csv
1770576115,2026-02-08T18:41:55Z,NKS2061,"28.41469,-81.297836",0,29,179,NK2061_3e3f8403.csv
1770576117,2026-02-08T18:41:57Z,NKS2061,"28.41441,-81.297836",0,30,180,NK2061_3e3f8403.csv
1770576118,2026-02-08T18:41:58Z,NKS2061,"28.414141,-81.297836",0,30,180,NK2061_3e3f8403.csv
1770576121,2026-02-08T18:42:01Z,NKS2061,"28.41391,-81.297836",0,27,179,NK2061_3e3f8403.csv
1770576122,2026-02-08T18:42:02Z,NKS2061,"28.413651,-81.297836",0,28,179,NK2061_3e3f8403.csv
1770576127,2026-02-08T18:42:07Z,NKS2061,"28.413151,-81.297821",0,27,178,NK2061_3e3f8403.csv
1770576128,2026-02-08T18:42:08Z,NKS2061,"28.41293,-81.297829",0,25,179,NK2061_3e3f8403.csv
1770576130,2026-02-08T18:42:10Z,NKS2061,"28.41268,-81.297836",0,26,180,NK2061_3e3f8403.csv
1770576133,2026-02-08T18:42:13Z,NKS2061,"28.41243,-81.297821",0,26,179,NK2061_3e3f8403.csv
1770576134,2026-02-08T18:42:14Z,NKS2061,"28.41218,-81.297821",0,27,179,NK2061_3e3f8403.csv
1770576137,2026-02-08T18:42:17Z,NKS2061,"28.411921,-81.297821",0,27,179,NK2061_3e3f8403.csv
1770576139,2026-02-08T18:42:19Z,NKS2061,"28.411671,-81.297821",0,27,179,NK2061_3e3f8403.csv
1770576140,2026-02-08T18:42:20Z,NKS2061,"28.411409,-81.297813",0,28,179,NK2061_3e3f8403.csv
1770576142,2026-02-08T18:42:22Z,NKS2061,"28.411131,-81.297813",0,29,180,NK2061_3e3f8403.csv
1770576144,2026-02-08T18:42:24Z,NKS2061,"28.410879,-81.297821",0,28,181,NK2061_3e3f8403.csv
1770576147,2026-02-08T18:42:27Z,NKS2061,"28.41062,-81.297791",0,28,177,NK2061_3e3f8403.csv
1770576148,2026-02-08T18:42:28Z,NKS2061,"28.41037,-81.297791",0,28,178,NK2061_3e3f8403.csv
1770576151,2026-02-08T18:42:31Z,NKS2061,"28.41013,-81.297798",0,27,179,NK2061_3e3f8403.csv
