Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1770484256,2026-02-07T17:10:56Z,AAL1189,"36.128887,-86.671219",0,0,84
1770485129,2026-02-07T17:25:29Z,AAL1189,"36.128342,-86.671906",0,3,306
1770485416,2026-02-07T17:30:16Z,AAL1189,"36.127609,-86.677513",0,0,312
1770485425,2026-02-07T17:30:25Z,AAL1189,"36.127888,-86.677864",0,10,315
1770485433,2026-02-07T17:30:33Z,AAL1189,"36.128208,-86.678284",0,12,315
1770485444,2026-02-07T17:30:44Z,AAL1189,"36.128586,-86.678795",0,12,312
1770485453,2026-02-07T17:30:53Z,AAL1189,"36.128941,-86.679268",0,12,315
1770485458,2026-02-07T17:30:58Z,AAL1189,"36.129101,-86.679497",0,12,312
1770485561,2026-02-07T17:32:41Z,AAL1189,"36.121277,-86.682976",0,18,196
1770485633,2026-02-07T17:33:53Z,AAL1189,"36.117435,-86.685081",0,0,286
1770485667,2026-02-07T17:34:27Z,AAL1189,"36.117809,-86.686264",0,10,306
1770485674,2026-02-07T17:34:34Z,AAL1189,"36.118065,-86.686348",0,8,351
1770485684,2026-02-07T17:34:44Z,AAL1189,"36.118275,-86.686264",0,2,16
1770485716,2026-02-07T17:35:16Z,AAL1189,"36.118492,-86.686165",0,3,19
1770485727,2026-02-07T17:35:27Z,AAL1189,"36.119778,-86.685677",0,49,16
1770485732,2026-02-07T17:35:32Z,AAL1189,"36.121208,-86.685097",0,72,16
1770485734,2026-02-07T17:35:34Z,AAL1189,"36.121861,-86.68483",0,82,16
1770485739,2026-02-07T17:35:39Z,AAL1189,"36.124302,-86.683884",225,95,17
1770485742,2026-02-07T17:35:42Z,AAL1189,"36.125839,-86.683273",225,95,17
1770485755,2026-02-07T17:35:55Z,AAL1189,"36.133659,-86.68026",400,142,17
1770485761,2026-02-07T17:36:01Z,AAL1189,"36.1371,-86.678986",625,141,16
1770485773,2026-02-07T17:36:13Z,AAL1189,"36.144562,-86.676346",1150,140,16
1770485784,2026-02-07T17:36:24Z,AAL1189,"36.151257,-86.673363",1600,143,25
1770485788,2026-02-07T17:36:28Z,AAL1189,"36.153912,-86.671494",1725,147,31
1770485794,2026-02-07T17:36:34Z,AAL1189,"36.157078,-86.668335",1900,154,41
1770485800,2026-02-07T17:36:40Z,AAL1189,"36.160172,-86.664505",2100,159,45
1770485806,2026-02-07T17:36:46Z,AAL1189,"36.163269,-86.660507",2250,167,47
1770485812,2026-02-07T17:36:52Z,AAL1189,"36.166443,-86.655922",2400,174,51
1770485817,2026-02-07T17:36:57Z,AAL1189,"36.168667,-86.651855",2550,180,57
1770485823,2026-02-07T17:37:03Z,AAL1189,"36.1707,-86.646027",2725,188,71
1770485825,2026-02-07T17:37:05Z,AAL1189,"36.171295,-86.643158",2800,191,75
1770485828,2026-02-07T17:37:08Z,AAL1189,"36.1716,-86.64093",2850,196,81
1770485830,2026-02-07T17:37:10Z,AAL1189,"36.171833,-86.637421",2925,199,85
1770485833,2026-02-07T17:37:13Z,AAL1189,"36.171787,-86.634972",2950,205,91
1770485836,2026-02-07T17:37:16Z,AAL1189,"36.171478,-86.631317",3025,208,95
1770485838,2026-02-07T17:37:18Z,AAL1189,"36.171112,-86.629028",3050,215,101
1770485840,2026-02-07T17:37:20Z,AAL1189,"36.170654,-86.626854",3075,219,106
1770485842,2026-02-07T17:37:22Z,AAL1189,"36.169922,-86.624336",3125,223,110
1770485845,2026-02-07T17:37:25Z,AAL1189,"36.168434,-86.620476",3200,227,115
1770485847,2026-02-07T17:37:27Z,AAL1189,"36.167271,-86.618019",3275,233,121
1770485849,2026-02-07T17:37:29Z,AAL1189,"36.16592,-86.615746",3325,237,125
1770485851,2026-02-07T17:37:31Z,AAL1189,"36.164524,-86.613579",3400,240,129
1770485853,2026-02-07T17:37:33Z,AAL1189,"36.162964,-86.611519",3475,246,134
1770485855,2026-02-07T17:37:35Z,AAL1189,"36.160904,-86.609055",3550,249,136
1770485858,2026-02-07T17:37:38Z,AAL1189,"36.158894,-86.606857",3625,252,139
1770485861,2026-02-07T17:37:41Z,AAL1189,"36.156235,-86.604424",3700,256,143
1770485863,2026-02-07T17:37:43Z,AAL1189,"36.153866,-86.602654",3775,260,149
1770485865,2026-02-07T17:37:45Z,AAL1189,"36.151428,-86.601219",3850,263,154
1770485868,2026-02-07T17:37:48Z,AAL1189,"36.149139,-86.600128",3925,266,160
1770485870,2026-02-07T17:37:50Z,AAL1189,"36.145432,-86.598755",4050,269,164
1770485872,2026-02-07T17:37:52Z,AAL1189,"36.143063,-86.598152",4125,272,167
1770485874,2026-02-07T17:37:54Z,AAL1189,"36.140305,-86.597672",4225,274,170
1770485877,2026-02-07T17:37:57Z,AAL1189,"36.137375,-86.597328",4300,276,173
1770485879,2026-02-07T17:37:59Z,AAL1189,"36.133846,-86.59716",4400,280,177
1770485882,2026-02-07T17:38:02Z,AAL1189,"36.131241,-86.597214",4475,282,182
1770485884,2026-02-07T17:38:04Z,AAL1189,"36.128632,-86.59745",4575,282,185
1770485886,2026-02-07T17:38:06Z,AAL1189,"36.125004,-86.597977",4725,283,187
1770485888,2026-02-07T17:38:08Z,AAL1189,"36.122406,-86.598419",4825,283,187
1770485890,2026-02-07T17:38:10Z,AAL1189,"36.119247,-86.598984",4925,284,188
1770485892,2026-02-07T17:38:12Z,AAL1189,"36.116501,-86.599564",5025,286,188
1770485895,2026-02-07T17:38:15Z,AAL1189,"36.113457,-86.600197",5125,288,189
1770485898,2026-02-07T17:38:18Z,AAL1189,"36.110432,-86.600845",5225,291,190
1770485900,2026-02-07T17:38:20Z,AAL1189,"36.107895,-86.601448",5325,292,191
1770485902,2026-02-07T17:38:22Z,AAL1189,"36.103775,-86.602478",5450,292,191
1770485904,2026-02-07T17:38:24Z,AAL1189,"36.100708,-86.603279",5550,294,191
1770485907,2026-02-07T17:38:27Z,AAL1189,"36.098145,-86.603912",5650,296,191
1770485909,2026-02-07T17:38:29Z,AAL1189,"36.09507,-86.604698",5750,296,192
1770485911,2026-02-07T17:38:31Z,AAL1189,"36.092377,-86.605453",5850,297,192
1770485913,2026-02-07T17:38:33Z,AAL1189,"36.089809,-86.606163",5950,297,193
1770485924,2026-02-07T17:38:44Z,AAL1189,"36.074165,-86.611069",6650,297,194
1770485935,2026-02-07T17:38:55Z,AAL1189,"36.059319,-86.616035",7250,300,195
1770485953,2026-02-07T17:39:13Z,AAL1189,"36.035622,-86.624039",8000,311,195
